metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: partID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Thurston_10_addition_1,manuscript_1797,,MS_Thurston_10,,manuscript,,MS_Thurston_10,"Paper The volume is constructed of seventeen ten-leaf quires, with the beginning and ending of each quire indicated by abjad letter-numerals. The smooth beige paper has a near matt surface and a thickness of 0.17−0.21 mm with an opaqueness factor of 4. It is slightly fibrous, with horizontal straight laid lines and chain lines (slightly curved and often very indistinct) in groups of 3s; there are inclusions.",,,,,,,,,,,,,,,,,
Oo_6_13_addition_1,manuscript_1891,,Oo_6_13,,manuscript,,Oo_6_13,"Some Persian verses, directions for taking auguries from the Qurʼān, and one or two traditions from Bukhārī relating to the operation of cupping, are scribbled in different hands on the blank fly-leaves at the beginning and the end of the volume.",,,,,,,,,,,,,,,,,
Oo_6_19_addition_1,manuscript_1893,,Oo_6_19,,manuscript,,Oo_6_19,"Some Persian verses, directions for taking auguries from the Qurʼān, and one or two traditions from Bukhārī relating to the operation of cupping, are scribbled in different hands on the blank fly-leaves at the beginning and the end of the volume.",,,,,,,,,,,,,,,,,
Oo_6_40_addition_1,manuscript_1913,,Oo_6_40,,manuscript,,Oo_6_40,"On f. 249, this manuscript bears the name of Captain William Hays, of the Honorable Company's Artillery in Bengal 1764 .",f. 249,249b,249b,,,,,,,,,,,,,,
Or_463_addition_1,manuscript_2302,,Or_463,,manuscript,,Or_463,"Contains annotations by Van Dyck, Cornelius Van Alen, 1818-1895",,,,,,,,,,,,,,,,,
P_22_addition_1,manuscript_2569,,P_22,,manuscript,,P_22,f. 17 Illustration of the bones of the body f. 26 Illustration of the nerves of the body f. 29 Unfinished illustration of the muscles f. 40 Illustration of the veins f. 44 Illustration of the arteries f. 57 Illustration of the viscera f. 64 Illustration of a pregnant woman with the child shown in the uterus,f. 17; f. 26; f. 29; f. 40; f. 44; f. 57; f. 64,17 26 29 40 44 57 64,17 26 29 40 44 57 64,,,,,,,,,,,,,,
V_14_addition_1,manuscript_3010,,V_14,,manuscript,,V_14,The manuscript contains diagrams of the three circles mentioned in this work.,,,,,,,,,,,,,,,,The manuscript contains diagrams of the three circles mentioned in this work.,#a2
V_44_addition_1,manuscript_3043,,V_44,,manuscript,,V_44,"The manuscript contains eight miniatures of which the first (on f. 6a) represents the Prophet's ascension, and the others various episodes in the romance of Laylá and Majnūn.",f. 6a,6a,6a,,,,,,,,,,,,,,
V_57_addition_1,manuscript_3057,,V_57,,manuscript,,V_57,"The manuscript contains several chronograms, of which three of the last five give the dates 1214/1799-1800 and 1215/1800-1, two 1216/1801-2, and one the much earlier date 1193/1780-81; all of them celebrate the completion of gardens or buildings.",,,,,,,,,,,,,,,,,
V_58_addition_1,manuscript_3058,,V_58,,manuscript,,V_58,"The manuscript contains several chronograms, of which three of the last five give the dates 1214/1799-1800 and 1215/1800-1, two 1216/1801-2, and one the much earlier date 1193/1780-81; all of them celebrate the completion of gardens or buildings.",,,,,,,,,,,,,,,,,
V_6_addition_1,manuscript_3060,,V_6,,manuscript,,V_6,pp. 1-2 The first two pages are ornamented with floral desings in gold,pp. 1-2,1.0,2.0,,,,,,,,,,,,,,
V_65_addition_1,manuscript_3066,,V_65,,manuscript,,V_65,"Ellaborate illuminations in ff. 4a, 4b and 5a.","ff. 4a, 4b and 5a",4a,5a,,,,,,,,,,,,,,
V_7_addition_1,manuscript_3072,,V_7,,manuscript,,V_7,The manuscript contains rubrications and illuminated ʻunwāns at the beginning of each component part.,,,,,,,,,,,,,,,,,
V_70b_addition_1,manuscript_3073,,V_70b,,manuscript,,V_70b,"On ff. 171b-173a an account is given (under rubrications in Turkish) of two saints, Ḥakīm Mīr Abū al-Fatḥ ( and another, belonging to Kashmīr, whose name is illegible.حكيم مير ابو الفتح)",ff. 171b-173a,171b,173a,,,,,,,,,,,,,,
V_91_addition_1,manuscript_3097,,V_91,,manuscript,,V_91,"A letter of Muftī-zādah ʻIzzī, Bey of Nicosia, dated March 5, 1925, is pasted on the last page.",,,,,,,,,,,,,,,,,
Y_10_addition_1,manuscript_3110,,Y_10,,manuscript,,Y_10,Letters from Professor Browne and Mīrzā ʻĪsá Khān are enclosed in an envelope pasted inside the cover.,,,,,,,,,,,,,,,,,
ms_47270_addition_1,manuscript_3120,,ms_47270,,manuscript,,ms_47270,marginalia: marginal and interlinear glosses. marginalia: marginal glosses arranged in the form of trees. marginalia: marginal (arranged in the form of trees) and interlinear glosses.,,,,,,,,,,,,,,,,; ;,a1 a2 a3
Add_MS_6903_addition_1,manuscript_3125,,Add_MS_6903,,manuscript,,Add_MS_6903,Marginalia: The copyist has entered a few corrections in the margins.,,,,,,,,,,,,,,,,,
Add_1166_addition_1,manuscript_3129,,Add_1166,,manuscript,,Add_1166,"Includes Notes in Italian Psalterio Syriaco manuscritto and in French les pseaumes de David en Siriaque, d'une tres belle escriture f. 2r",f. 2r,2r,2r,,,,,,,,,,,,,,
Add_2886_addition_1,manuscript_3135,,Add_2886,,manuscript,,Add_2886,f.1r f.202v Gregorian ff. 203-205 are a modern index to the contents of the volume in Arabic,f.1r; f.202v; ff. 203-205 are a modern index to the contents of the volume in Arabic,1r 202v 203,1r 202v 205,,,,,,,,,,,,,,
Add_2889_addition_1,manuscript_3137,,Add_2889,,manuscript,,Add_2889,ff. 56 and 57 are a modern supply,,,,,,,,,,,,,,,,,
Add_2917_addition_1,manuscript_3138,,Add_2917,,manuscript,,Add_2917,"A modern supplement to part I, of the XIXth Cent written in an inelegant Jacobite ff. 1-8 and ff. 87-126",ff. 1-8; and ff. 87-126,1 87,8 126,,,,,,,,,,,,,,
Add_3276_addition_1,manuscript_3145,,Add_3276,,manuscript,,Add_3276,"Note on ff. 154v, 2 notes dated A.D. 1756 , 155r relating to certain events in the year A.D. 1837","154v, 2 notes dated; , 155r",154v 155r,154v 155r,,,,,,,,,,,,,,
Add_3278_addition_1,manuscript_3147,,Add_3278,,manuscript,,Add_3278,Note on f. 351r,f. 351r,351r,351r,,,,,,,,,,,,,,
Add_3280_addition_1,manuscript_3148,,Add_3280,,manuscript,,Add_3280,"From the colophon we learn the nature of the special connexion between the Convent of S. Mary Deipara and the city of Taghrit (Tekrit) viz. that merchant of Taghrit were the owners of the convent, which they had bought for the sum of 12000 Dinars of gold",,,,,,,,,,,,,,,,,
Add_3281_addition_1,manuscript_3149,,Add_3281,,manuscript,,Add_3281,"At the end, f. 147r is a brief autobiography of the author.",f. 147r,147r,147r,,,,,,,,,,,,,,
Add_3281_addition_2,manuscript_3149,,Add_3281,,manuscript,,Add_3281,"A later hand has added A.D. 1725, f. 147r and it is probably correct because the author died in A.D. 1724, according to Assemani, Giuseppe Simone, 1687-1768.",f. 147r,147r,147r,,,,,,,,,,,,,,
Add_3283_addition_1,manuscript_3151,,Add_3283,,manuscript,,Add_3283,"Note f. 15r, 154r, 28r and 170r where the scribe gives some additionals particulars regarding Himself and his family, 209-210 countain an index","f. 15r,; 154r,; 28r and; 170r where the scribe gives some additionals particulars regarding Himself and his family,; 209-210 countain an index",15r 154r 28r 170r 209,15r 154r 28r 170r 210,,,,,,,,,,,,,,
Add_3284_addition_1,manuscript_3152,,Add_3284,,manuscript,,Add_3284,There is a note where the scribe write his name and the origin place. Other note are on f. 6r f. 33v f. 52v the scribe again gives his name and the date A.D. 1797,f. 6r; f. 33v; f. 52v the scribe again gives his name and the date,6r 33v 52v,6r 33v 52v,,,,,,,,,,,,,,
Add_3285_addition_1,manuscript_3153,,Add_3285,,manuscript,,Add_3285,Note f. 150v,f. 150v,150v,150v,,,,,,,,,,,,,,
Add_3287_addition_1,manuscript_3155,,Add_3287,,manuscript,,Add_3287,Note f. 106v,f. 106v,106v,106v,,,,,,,,,,,,,,
Add_616_addition_1,manuscript_3157,,Add_616,,manuscript,,Add_616,"At the beginning of the book pencil note ""Nathan Lazarus Benmohell"", two leaves containing an attempt describing the contents of the volume by Benmohel, N. L. (Nathan Lazarus), approximately 1800-1869 Nathan Lazarus Benmohell",,,,,,,,,,,,,,,,,
Uk_Add_7735_addition_1,manuscript_3160,,Uk_Add_7735,,manuscript,,Uk_Add_7735,Gold-sprinkled paper,,,,,,,,,,,,,,,,,
Arabic_MSS_suppl_87_addition_1,manuscript_3162,,Arabic_MSS_suppl_87,,manuscript,,Arabic_MSS_suppl_87,Marginalia: The copy has been collated with the exemplar as well as with another manuscript. The copyist has entered many corrections in the margins.,,,,,,,,,,,,,,,,,
Dd_3_54_addition_1,manuscript_3163,,Dd_3_54,,manuscript,,Dd_3_54,Folio 579b seems originally to have been the last leaf of a copy of the Qurʼān .,579b,579b,579b,,,,,,,,,,,,Qurʼān,,
Uk_Delhi_Persian_1_addition_1,manuscript_3166,,Uk_Delhi_Persian_1,,manuscript,,Uk_Delhi_Persian_1,Qurʼānic text in poor vocalized naskhī overlined red,,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_1184_addition_1,manuscript_3175,,Uk_Delhi_Persian_1184,,manuscript,,Uk_Delhi_Persian_1184,Qurʼānic text overlined in red,,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_14_addition_1,manuscript_3194,,Uk_Delhi_Persian_14,,manuscript,,Uk_Delhi_Persian_14,"Qurʼānic text and headings in red, except at the beginning where overlining prevails",,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_1420_addition_1,manuscript_3195,,Uk_Delhi_Persian_1420,,manuscript,,Uk_Delhi_Persian_1420,Marginal comments and corrections.,,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_1420_addition_2,manuscript_3195,,Uk_Delhi_Persian_1420,,manuscript,,Uk_Delhi_Persian_1420,"Text authenticated by the author, as in the companion volume IO Islamic 578. Note on f. 67v: قد حرة [sic] هذه النسخة الشریفة من نظر المصنف و الهکّ و الاصلاح و الحاشیة اکثر من یده",f. 67v,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_1420_addition_3,manuscript_3195,,Uk_Delhi_Persian_1420,,manuscript,,Uk_Delhi_Persian_1420,"Folio 1Er contains erased seals and inspection notes dated 21 Muḥarram year 3, most likely of Bahadur Shah, i.e. (1121, 15 Mar 1709) - inscriptions in this hand of a similar date occur in a number of Mughal library mss. Further inspections are dated 19 Zu'l-Ḥijjah year 23 (of Muhammad Shah, i.e. 7 March 1741) and a record of the same date records the transfer of care from Muḥāfiẓ Khān to Muḥammad Ḥāfiẓ, both officials of the royal library during Muhammad Shah's reign.",Folio 1Er,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_44_addition_1,manuscript_3233,,Uk_Delhi_Persian_44,,manuscript,,Uk_Delhi_Persian_44,"Folio 1r contains the following Mughal inscriptions: Transfer from Muʻnim Bayg to Murād Bayg, certified by Muḥammad Rashīd, inspector (mushrif), dated 29 Zu’l-Ḥijjah year 50 (1117, 13 April 1706); transfer from Murād Bayg to ʻAẓīm Bayg, dated 7 Rajab year 2 (1120, 22 Sept 1708); transfer from ʻAẓīm Bayg to … [illegible] Bayg, dated 3 Rabīʻ I year 3 (1121, 13 May 1709), and a valuation of Rs. 18(?); and an inspection dated 19 Rabīʻ I(?) year 3 (1121, 29 May 1709).",Folio 1r,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_44_addition_2,manuscript_3233,,Uk_Delhi_Persian_44,,manuscript,,Uk_Delhi_Persian_44,Wrapper made of re-used list of works in the Delhi Persian collection.,,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_5B_addition_1,manuscript_3249,,Uk_Delhi_Persian_5B,,manuscript,,Uk_Delhi_Persian_5B,Qurʼānic text overlined in red (in black in the supplies),,,,,,,,,,,,,,,,,
Uk_Delhi_Persian_8_addition_1,manuscript_3261,,Uk_Delhi_Persian_8,,manuscript,,Uk_Delhi_Persian_8,Qurʼānic text in red,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4300_addition_1,manuscript_3279,,Uk_IO_Islamic_4300,,manuscript,,Uk_IO_Islamic_4300,Manuscript shelved as Loth 45,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4578_addition_1,manuscript_3288,,Uk_IO_Islamic_4578,,manuscript,,Uk_IO_Islamic_4578,"Worm-eaten, skilfully repaired and restored; end folios badly damaged by damp",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4581_addition_1,manuscript_3289,,Uk_IO_Islamic_4581,,manuscript,,Uk_IO_Islamic_4581,The manuscript is autograph,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4587_addition_1,manuscript_3292,,Uk_IO_Islamic_4587,,manuscript,,Uk_IO_Islamic_4587,"Lines varying; type written to fol. 904, remainder (index) in manuscript",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4588_addition_1,manuscript_3293,,Uk_IO_Islamic_4588,,manuscript,,Uk_IO_Islamic_4588,"Poor paper, worm-eaten, torn in places and almost fragmentary",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4593_addition_1,manuscript_3296,,Uk_IO_Islamic_4593,,manuscript,,Uk_IO_Islamic_4593,Worm-eaten,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4594_addition_1,manuscript_3297,,Uk_IO_Islamic_4594,,manuscript,,Uk_IO_Islamic_4594,"Damaged by ants and rodents, last folio torn",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4611_addition_1,manuscript_3310,,Uk_IO_Islamic_4611,,manuscript,,Uk_IO_Islamic_4611,Poor paper,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4614_addition_1,manuscript_3311,,Uk_IO_Islamic_4614,,manuscript,,Uk_IO_Islamic_4614,"Pink, blue, and white paper",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4615_addition_1,manuscript_3312,,Uk_IO_Islamic_4615,,manuscript,,Uk_IO_Islamic_4615,Some folios torn,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4616_addition_1,manuscript_3313,,Uk_IO_Islamic_4616,,manuscript,,Uk_IO_Islamic_4616,Work 1 has chapter-headings and overlinings in gilt; some folios torn and skilfully restored,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4616_addition_2,manuscript_3313,,Uk_IO_Islamic_4616,,manuscript,,Uk_IO_Islamic_4616,"Work 3 Good paper, gold sprinkled",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4617_addition_1,manuscript_3314,,Uk_IO_Islamic_4617,,manuscript,,Uk_IO_Islamic_4617,"Damaged by damp, margins repaired",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4619_addition_1,manuscript_3315,,Uk_IO_Islamic_4619,,manuscript,,Uk_IO_Islamic_4619,Corrected,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4621_addition_1,manuscript_3317,,Uk_IO_Islamic_4621,,manuscript,,Uk_IO_Islamic_4621,"Pink, cream, and blue paper, gold-sprinkled; some folios badly damaged and skilfully repaired",,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4622_addition_1,manuscript_3318,,Uk_IO_Islamic_4622,,manuscript,,Uk_IO_Islamic_4622,Indifferent paper,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_4625_addition_1,manuscript_3321,,Uk_IO_Islamic_4625,,manuscript,,Uk_IO_Islamic_4625,Some folios damaged and torn,,,,,,,,,,,,,,,,,
Uk_IO_Islamic_3540_addition_1,manuscript_3561,,Uk_IO_Islamic_3540,,manuscript,,Uk_IO_Islamic_3540,"Inscriptions. Folio 1r includes the following inscriptions arranged as far as possible in chronological order: Kitāb Shāhnāmah āvurdah-i Khvājah Qanbar ʻAlī, underneath a scrubbed out seal of Muhammad Quṭb Shāh, Sultan of Golconda, (r.1612-26), possibly to be associated with it Duvvum 'Second Class'Inscription recording inspection on 23 Zuʼl-Hijjah 1169 (18 September 1756), associated with seal of former owner Muḥammad Yāqūt Khān dated 1163 (1749/50 Inscription recording inspection on 8 Rab I 1192 (3 April 1778), most likely associated with seal of Muḥammad Ṣibghat Allāh Khān dated 1182 (1768/69) Inscription recording inspection on 29 Zu’l-H 1197 (25 November 1783), also probably associated with seal of Muḥammad Ṣibghat Allāh Khān.",Folio 1r,1r,1r,,,,,,,,,,,,,,
Uk_IO_Islamic_4063_addition_1,manuscript_3562,,Uk_IO_Islamic_4063,,manuscript,,Uk_IO_Islamic_4063,"Inscriptions on folios and : Gulz̲ārīlaʿl, Farrukhābād Khāṣṣ, Muḥallah Madrassah-yi Jaʿfar Khān... 20 November 1878",,,,,,,,,,,,,,,,,
Islamic_Arabic_1070_addition_1,manuscript_3607,,Islamic_Arabic_1070,,manuscript,,Islamic_Arabic_1070,Orthography Partly vowelled Marginalia Some notes and corrections in the margins,,,,,,,,,,,,,,,,,
Islamic_Arabic_1072_addition_1,manuscript_3608,,Islamic_Arabic_1072,,manuscript,,Islamic_Arabic_1072,Marginalia Careful corrections in the margins.,,,,,,,,,,,,,,,,,
Islamic_Arabic_1081_addition_1,manuscript_3612,,Islamic_Arabic_1081,,manuscript,,Islamic_Arabic_1081,Marginalia Several notes and tables,,,,,,,,,,,,,,,,,
Islamic_Arabic_1094_addition_1,manuscript_3616,,Islamic_Arabic_1094,,manuscript,,Islamic_Arabic_1094,Marginalia Many glosses and corrections.,,,,,,,,,,,,,,,,,
Islamic_Arabic_1099_addition_1,manuscript_3618,,Islamic_Arabic_1099,,manuscript,,Islamic_Arabic_1099,Orthography Fully vowelled Marginalia Some corrections in the margins.,,,,,,,,,,,,,,,,,
Islamic_Arabic_1102_addition_1,manuscript_3620,,Islamic_Arabic_1102,,manuscript,,Islamic_Arabic_1102,Marginalia Many glosses and corrections,,,,,,,,,,,,,,,,,
Islamic_Arabic_1112_addition_1,manuscript_3624,,Islamic_Arabic_1112,,manuscript,,Islamic_Arabic_1112,Orthography Fully vowelled,,,,,,,,,,,,,,,,,
Islamic_Arabic_1113_addition_1,manuscript_3625,,Islamic_Arabic_1113,,manuscript,,Islamic_Arabic_1113,Orthography Fully vowelled Marginalia Some corrections in the margins.,,,,,,,,,,,,,,,,,
Islamic_Arabic_1115_addition_1,manuscript_3627,,Islamic_Arabic_1115,,manuscript,,Islamic_Arabic_1115,Orthography Fully vowelled. Marginalia Some corrections.,,,,,,,,,,,,,,,,,
Islamic_Arabic_1118_addition_1,manuscript_3630,,Islamic_Arabic_1118,,manuscript,,Islamic_Arabic_1118,Marginalia Corrections on the margins.,,,,,,,,,,,,,,,,,
Islamic_Arabic_1207_addition_1,manuscript_3662,,Islamic_Arabic_1207,,manuscript,,Islamic_Arabic_1207,Marginalia Few corrections in the margin.,,,,,,,,,,,,,,,,,
