metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit
Persian_MS_133_binding_1,manuscript_6612,,Persian_MS_133,,"Bound in a late-18th century European style binding, possibly for Jones.; Sewn on five cords, with three laced into the pasteboards. Endpapers of similar stock added and the edges trimmed, the head gilded, and decorative front-bead endbands sewn at head and tail in red and white silk threads. Covered in full diced Russia calfskin leather, with five raised bands.; 233 191 29","Handle binding with caution. In fair condition, with joints cracked, headcaps missing, endbands broken, and corners bumped. Boxed.","Spine panels palleted with thick, vertical dash lines with thin solid lines either side, floral garlands in the centres, and quintafoil rosette corners, and the title panel left blank. Board margins bear decorative rope designs, outlined with single fillets on either side, with thick-and-thin diagonal lines on the board edges.",,,1775,1838,,,233.0,233.0,233.0,191.0,191.0,191.0,29.0,29.0,29.0,mm
Persian_MS_14_binding_1,manuscript_6619,,Persian_MS_14,,"J. B. B. Clarke describes the present binding, hence necessarily rebound before 1835. While it lacks his binder's ticket, the style closely comports with others volumes bound by the London firm of Charles Lewis (1786-1836).; Leather jointed endpapers prepared of yellow wove paper stiff-leaved with lilac tinted upper flyleaves added to the beginning and end. Resewn on on four recessed cords laced into the pasteboards each with cluster of four bevelled octagonal recesses in the centres. Edges trimmed and gilded, then decorative double-core French-style endbands worked in red and yellow silk threads at head and tail. Bound in full dark lilac, coated and artificially grained morocco goatskin leather hollow-backed over four false bands on the spine but tight jointed, and with wide turn-ins.; 285 196 36","Handle binding with caution. In fair but stable condition, with endbands broken and external abrasion.","Boards elegantly gold-tooled with five open cruciform designs with central florets and dots on the arms, surrounded by single fillet diamonds with solid dots at the joins, all connected with the same fillet lines which also surround the octagons. The central decoration connects to an inner margin with foliate scrollwork cornerpieces and stylized trefoils at the joins (the latter also seen on Persian MS 27). All bounded by exterior margins of single and double fillet lines with stylized trefoils at the joins. Board edges beard double fillets, while the interior dentelled bear palmette fleurons in the corners, connected pairs of single thin fillet lines joined at the leaves, with single lines also connecteding the bases, with dots on the joins. Spine panels bear mitred triple pallet rectangles, with the triple single lines terminating in bold auricular palmettes. Titled: DIVAN I.HAFIZ",,,1800,1835,,#Gregorian,285.0,285.0,285.0,196.0,196.0,196.0,36.0,36.0,36.0,mm
Persian_MS_141_binding_1,manuscript_6621,,Persian_MS_141,,"Probably bound in the late 18th century for Franz von Dombay.; Unsupported sewing on several stations. Spine lined with cloth, edges left untrimmed. No endbands. Covered in half decorated pastepaper on the spine and fore-edge of the boards with finely spattered pebble marbled paper sides.; 315 217 26","Binding in good condition, with minor abrasion along the edges.","Spine panels palleted with triple fillets, with a red paper label titled RUDIMENTA LINGUAE PERSICAE, all in gold.",,,1750,1810,,,315.0,315.0,315.0,217.0,217.0,217.0,26.0,26.0,26.0,mm
Persian_MS_146_binding_1,manuscript_6626,,Persian_MS_146,,Repaired and soundly rebound.,,Spine titled DEH MEJALIS,,,,,,,,,,,,,,,,
Persian_MS_147_binding_1,manuscript_6627,,Persian_MS_147,,"The original binding appears likely Indian, then later restored for prior owner Sir Gore Ouseley.; Resewn on three supports laced into the original boards. Edges trimmed and twined chevron endbands worked in indigo and gilt threads at head and tail. Original boards covered in fine-grained medium-brown goatskin leather, with the spine recovered and board edges hemmed with a comparatively reddish brown goatskin leather, with defined joints but without squares at the edges or a flap (Type III binding per Déroche). Separate darker brown goatskin leather hinges connect the covers to the textblock.; 296 180 90",,"Original boards bear remnants of gold-blocked recessed paper onlays for the scalloped central mandorlas, detached pendants, and corners, which feature irises. Spine paletted in the European manner in gold, with the title handwritten in gold nasta‘līq.",,,1700,1830,,,296.0,296.0,296.0,180.0,180.0,180.0,90.0,90.0,90.0,mm
Persian_MS_148_binding_1,manuscript_6628,,Persian_MS_148,,Probably rebound in the early 19th century in Paris for former owner John Staples Harriott.; 296 217 34,,,,,1775,1838,,,296.0,296.0,296.0,217.0,217.0,217.0,34.0,34.0,34.0,mm
Persian_MS_149_binding_1,manuscript_6629,,Persian_MS_149,,"Probably rebound in the early 19th century in Paris for former owner John Staples Harriott.; Resewn on 4 recessed cords, laced into pasteboard. Edges trimmed and fabric endbands applied at head and tail.; 305 227 38",,,,,1775,1838,,,305.0,305.0,305.0,227.0,227.0,227.0,38.0,38.0,38.0,mm
Persian_MS_150_binding_1,manuscript_6631,,Persian_MS_150,,"Sewn all-along at three stations on leather thongs, with Islamic-style twined endbands in red and white silk threads at head and tail. Bound in a British-Indian hybrid style in India, tight-backed, in full medium brown goatskin leather over pasteboards without a flap (Type III binding as per Déroche), with squares at the edges and defined joints. Attached to the textblock by means of internal leather hinges put down on the first and last flyleaves, decorated with a strips of paper with serrated zig-zag cuts adhered over top. ; 253 168 17","In good condition, albeit with white salts (leather spew) on the exterior cover due to prolonged exposure to moisture.","Boards decorated with blind-stamped paper onlays with a scalloped central mandorlas, detached pendants, and corners, with a single white ruled line connecting them. Titled SEIR. AL-MOTAKHER VOL. I in gold on the spine, uniformly with the other volumes.",,,1802,1865,,#gregorian,253.0,253.0,253.0,168.0,168.0,168.0,17.0,17.0,17.0,mm
Persian_MS_151_binding_1,manuscript_6632,,Persian_MS_151,,"Sewn all-along on five cords frayed and put down on the second to the first and last flyleaves. Twined Islamic-style chevron endbands are missing (but present on the related volumes), edges coloured yellow. Bound in a British-Indian hybrid style, tight-backed in full red-brown goatskin leather over pasteboards without a flap (Type III binding as per Déroche), with five raised bands and uneven squares at the edges.. Internal doublures of the smooth red goatskin leather, the excess width of which is put down on the first and last flyleaves, and decorated with a strips of paper with serrated zig-zag cuts adhered over top. Titled ""SEIR. AL. MÓTAKHERĪN VOL. II in gold on the spine, uniformly with the other volumes. Headcaps repaired in similar goatskin leather.; 251 166 33","Good condition, although exterior scuffed.",,,,1785,1865,,#Gregorian,251.0,251.0,251.0,166.0,166.0,166.0,33.0,33.0,33.0,mm
Persian_MS_152_binding_1,manuscript_6633,,Persian_MS_152,,"Sewn all-along on five cords that are frayed and put down on the second to the first and last flyleaves. Twined Islamic-style chevron endbands are missing (but present on the related volumes), edges coloured yellow. Bound in a British-Indian hybrid style, tight-backed in full red-brown goatskin leather over pasteboards without a flap (Type III binding as per Déroche), with five raised bands and uneven squares at the edges.. Internal doublures of the smooth red goatskin leather, the excess width of which is put down on the first and last flyleaves, and decorated with a strips of paper with serrated zig-zag cuts adhered over top. Titled ""SEIR. AL. MÓTAKHERĪN VOL. III in gold on the spine, uniformly with the other volumes.; 252 171 32","In good condition, but exterior scuffed.",,,,1785,1825,,#Gregorian,252.0,252.0,252.0,171.0,171.0,171.0,32.0,32.0,32.0,mm
Persian_MS_153_binding_1,manuscript_6634,,Persian_MS_153,,"Sewn all-along on five cords that are frayed and put down on the second to the first and last flyleaves. Edges coloured yellow, with twined Islamic-style chevron endbands worked at head and tail. Bound in the Indian subcontinent in a British-Indian hybrid style, tight-backed in full, smooth brownish-red goatskin leather over pasteboards without a flap (Type III binding as per Déroche), with five raised bands and uneven squares at the edges. Internal doublures of the smooth red goatskin leather, with the excess width put down on the first and last flyleaves as hinges, covered with serrated, zig-zag cut paper strips adhered over top. Titled ""SEIR. AL. MÓTAKHERĪN VOL. IV in gold on the spine, uniformly with the other volumes. Headcaps repaired in similar goatskin leather.; 253 162 33",In good condition. Some scuffing on the exterior.,,,,1785,1825,,#Gregorian,253.0,253.0,253.0,162.0,162.0,162.0,33.0,33.0,33.0,mm
Persian_MS_155_binding_1,manuscript_6636,,Persian_MS_155,,"Resewn upon three sawn-in cords laced into the pasteboards. Stuck-on endbands of yellow silk wrapping a cord applied to spine. Rebound in an early full rose-coloured embossed morocco-grained bookcloth (See Andrea Krupp, Bookcloth, pp. 25, 36, no. Lea1 Morocco). English endpapers watermarked Britannia with the letter H in a five-pointed star atop the letter G over the number one, dated . Since this cloth matches Rylands 1830, and the endpapers date to well after Martin owned the volume, former owner Persian MS 30Nathaniel Bland likely had it rebound.; 253 164 55",Binding in good condition albeit faded on the spine.,,,,1830,1865,,,253.0,253.0,253.0,164.0,164.0,164.0,55.0,55.0,55.0,mm
Persian_MS_158_binding_1,manuscript_6639,,Persian_MS_158,,"Possibly rebound in circa 1800 former owner Antoine-Isaac Silvestre de Sacy .; Resewn on two recessed cords, laced into the pasteboards. Endpapers of European-made cross-grained laid paper added to the beginning and end. Edges trimmed, finely spattered in dark blue, with decorative single-core front-bead endbands sewn in white and russet silk threads at head and tail. Covered in full russet brown goatskin leather.; 219 148 32","Handle with care. Binding scuffed on the spine board edges, insect damage at the joints and headcaps, and joints.","Boards and spine spattered with dark brown-black, with the boards manipulated to form 'tree-marbled' designs. Board margins gilt with a decorative roll with a rope design. Untitled spine panels palleted with the same rope design as the boards and septfoils florets in the centres.",,,1775,1838,,,219.0,219.0,219.0,148.0,148.0,148.0,32.0,32.0,32.0,mm
Persian_MS_17_binding_1,manuscript_6652,,Persian_MS_17,,"Likely rebound for Sir Gore Ouseley, as the spine decoration comports with other volumes that he formerly owned.; Resewn on 5 recessed cords, laced into the pasteboard. Edges trimmed and coloured with red earth. Decorative European-style front-bead endbands sewn in tan and white silk threads. Rebound hollow-backed, probably in London, in half British tan coloured calfskin leather with gray-coloured wove papersides.; 289 167 59","Handle with caution. Binding in fair condition, with abrasion to the spine, headcaps, joints, and edges, with bumped corners. While the hollow back opens comfortably at the head, it remains closed at the tail, which restricts the opening.","Spine decorated with a fully gilt, 'run-up' back, panels palletted with quadruple fillet lines, with rows of foliate scrollwork vines at top and bottom and arabesque flourishes in the central three. Interlaced foliate arc-and-darts at head and tail. Triple fillet lines and diagonal dots with solid lines on either side frame the spine panels. The raised bands and headcaps feature the same thick-and-thin diagonals. Titled METHNAVI.",,,1700,1843,,,289.0,289.0,289.0,167.0,167.0,167.0,59.0,59.0,59.0,mm
Persian_MS_173_binding_1,manuscript_6656,,Persian_MS_173,,Probably bound in India; 300 179 77,"Handle with caution. In poor condition, with loose sewing, text block split between folios 128 to 129, binding joints breaking. Boxed.","Boards uniformly decorated together with the other volumes as a set, with silvered paper onlays for the central scalloped mandorlas and detached pendants, with the boards ruled in white. Paper label on the spine bears the title of the volume in Persian.",,,1804,1818,,,300.0,300.0,300.0,179.0,179.0,179.0,77.0,77.0,77.0,mm
Persian_MS_176_binding_1,manuscript_6657,,Persian_MS_176,,"Probably bound in the Indian subcontinent in full brown goatskin leather in two separate pieces that overlap on the spine. Dark brown tinted endpapers added to the volume when restored, of the same stock used to repair the volume.; 298 207 30","Handle with caution. In poor condition, with loose sewing, the text block splitting in many areas and the exterior extensively abraded. Boxed.","Boards nearly uniformly decorated together with the other volumes as a set, with paper onlays for the central scalloped mandorlas, detached pendants, and corners with the boards ruled in white. Paper label on the spine bears the title of the volume in Persian.",,,1804,1818,,,298.0,298.0,298.0,207.0,207.0,207.0,30.0,30.0,30.0,mm
Persian_MS_177_binding_1,manuscript_6658,,Persian_MS_177,,Probably bound in the Indian subcontinent in full brown goatskin leather in two separate pieces that overlap on the spine.; 297 212 48,"Handle with caution. In poor condition, with sewing broken between folios 83 to 84, hence folios81 to 86 detached from the text block. Exterior extensively abraded. Binding opens tightly to the gutter. Paper label peeling away from the spine. Boxed.","Boards nearly uniformly decorated together with the other volumes as a set, with paper onlays for the central scalloped mandorlas, detached pendants, and corners with the boards ruled in white. Paper label on the spine bears the title of the volume in Persian.",,,1804,1818,,,297.0,297.0,297.0,212.0,212.0,212.0,48.0,48.0,48.0,mm
Persian_MS_178_binding_1,manuscript_6659,,Persian_MS_178,,"Probably bound in the Indian subcontinent in a European-style full light brown goatskin leather over pasteboards, with seven bands (four false) on the spine, and squares along the edges, in a completely different manner than other volumes in the set. Marbled endpapers and flyleaves watermarked with a large crest and countermarked with the name of . Decorative single-core endbands at head and tail sewn in yellow and green George Smidtssilk. Paper label on the spine bears the title of the volume in Persian.; 324 222 42","Handle with caution. In fair condition, with with the exterior binding joints breaking and significant abrasion to the surface, and dry-rot. Boxed.",,,,1808,1818,,,324.0,324.0,324.0,222.0,222.0,222.0,42.0,42.0,42.0,mm
Persian_MS_181_binding_1,manuscript_6661,,Persian_MS_181,,"Evidently rebound as a set for former owner Archibald Swinton after his return to Britain in 1766. Uniformly bound with Persian MS 180; however, 182 comports with , while 179 appears to be an unrelated, separate addition.Persian MS 802; Abbreviated resewing on six cords, laced into pasteboard, edges trimmed and marbled with a loose serpentine pattern drawn over a stone design in yellow, green, black, and red. Decorative front-bead decorative endbands sewn in red and yellow silk threads. Covered in full, bright green calfskin leather, tight-backed and tight-jointed, with 'Old Dutch' patterned marbled endpapers.; 287 182 45","Handle with caution. Exterior and board edges, and joints abraded, with losses to the headcaps. Deteriorated green silk ribbon bookmark between 185b to 186a. Boxed","Spine fully gilt, with Swinton's arms blocked on gold on skiver leather labels applied to the top panel. Gilt floriate chain borders on the board perimeters, with floral sprig corners, and board edges tooled with a leaf-and-dart roll.",,,1762,1804,,,287.0,287.0,287.0,182.0,182.0,182.0,45.0,45.0,45.0,mm
Persian_MS_182_binding_1,manuscript_6662,,Persian_MS_182,,"Evidently rebound as a set for former owner Archibald Swinton after his return to Britain in 1766. Curiously, while this volume bears Swinton's arms blocked in gold on skiver leather in the top spine panel, it lacks his bookplate, as found in Persian MS 180 and 181, and it closely resembles , formerly owned by Persian MS 802George Augustus Frederick Fitzclarence, 1st Earl of Munster (1794–1842). Abbreviated resewing on five cords, laced into pasteboard, edges trimmed and marbled with a loose serpentine pattern drawn over a stone design in pale yellow, black, and red. Decorative front-bead decorative endbands sewn in red and yellow silk threads. Covered in full, dark green calfskin leather, tight-backed and tight-jointed, with predominantly dark green and pink 'Antique Spot' patterned marbled made endpapers. Intial and final two flyleaves of cross-grained, cream-coloured laid paper, likely made in Britain, with ~10 laid lines per cm and 26 mm between chain lines. Other earlier flyleaves of straight-grained, ; 284 190 63","Handle with caution. Exterior and board edges abraded, joints cracked, headcap missing, tailcap frayed, and endbands broken. Deteriorated green silk ribbon bookmark between 288b to 289a. Boxed.","Spine fully gilt, with a slightly smaller version of Swinton's arms blocked on gold on skiver leather labels applied to the top panel, which measures . Gilt floriate chain borders on the board perimeters, with floral sprig corners, and board edges tooled with a leaf-and-dart roll.18 17",,,1762,1804,,,284.0,284.0,284.0,190.0,190.0,190.0,63.0,63.0,63.0,mm
Persian_MS_187_binding_1,manuscript_6667,,Persian_MS_187,,"Bound in a late-18th century European style binding for Jones.; Sewn on five cords, with three laced into the pasteboards. Edges trimmed and coloured yellow, then decorative front-bead endbands sewn in white and blue threads at head and tail in red and white silk threads. Covered in full diced Russia calfskin leather, with five raised bands.; 265 213 29","Handle binding with caution. In fair condition, with joints cracked, tailcap missing, headcap torn, endbands broken, and exteriors abraded. Boards yawning at the fore-edge. Boxed.","Spine panels palleted with a dotted lines with single lines either side. Septfoils in the centres, and palmette corners. Board margins bear decorative rope designs, outlined with single fillets on either side, with thick-and-thin diagonal lines on the board edges.",,,1775,1838,,,265.0,265.0,265.0,213.0,213.0,213.0,29.0,29.0,29.0,mm
Persian_MS_188_binding_1,manuscript_6668,,Persian_MS_188,,"Resewn on five recessed cords, laced into the pasteboards, without endbands. Rebound in a German-style quarter medium-brown calfskin leather binding with green vellum tips and ochre-coloured paper sides. Endpapers also of European handmade paper, with a curious watermark of cursive letters , with ~1mm between laid lines and ~36 mm between chain lines.ab; 297 208 12","In fair condition. Board exteriors, edges, and tailcap abraded; upper headcap missing.","Spine panels paletted in gold with single dotted lines, with solid fillet lines and dotted rope designs on either side, and wheel rosettes in the centres.",,,1800,1865,,,297.0,297.0,297.0,208.0,208.0,208.0,12.0,12.0,12.0,mm
Persian_MS_189_binding_1,manuscript_6669,,Persian_MS_189,,"Probably rebound in a hybrid British-Indian style in the Bombay Presidency for former owner Jonathan Duncan (1756–1811), since the style comports with others he formerly owned.; Resewn on five recessed cord supports, probably frayed out and put down under the lifted doublures. Covered in full maroon goatskin leather over pasteboards, tightbacked, with defined joints, sqaures along the edges, but without a flap (Type III binding per Déroche). Spine bears three raised bands.; 266 168 45","Binding in fair but stable condition, with the opening to the gutter margins restricted and white salts (spew) on the exterior due to prolonged exposure to moisture.","Boards decorated with recessed paper onlays for the central scalloped mandorlas, detached pendants, and cornerpieces. Board margins stained black. Thin single-rule lines connect the central decoration, with thin double lines connecting the corners, and thick and thin lines surrounding the perimeters of the boards, all in yellow.",,,1796-03-24,1811,,,266.0,266.0,266.0,168.0,168.0,168.0,45.0,45.0,45.0,mm
Persian_MS_190_binding_1,manuscript_6671,,Persian_MS_190,,"Covered in a hybrid British-Indian style in the Indian subcontinent, possibly in Calcutta (Kolkata) for former owner Sir Gore Ouseley.; Sewn at two stations, unsupported, with sewn endpapers of similar stock as the text, edges trimmed, with chevron endbands twined in pink and green silk threads over round cores at head and tail. Covered in full, highly polished dark brown goatskin leather, over pasteboards and tight-backed on the spine, with squares at head and tail (albeit the fore-edge protrudes), defined joints, but without a flap (Type III binding per Déroche). Board interiors lined with maroon goatskin leather, with their excess widths put down as hinges on the first and last flyleaves in order to connect the textblock to the cover. ; 382 231 45","Handle binding with caution. In fair condition with the exteriors scuffed, abraded, and insect damaged.","Boards decorated with recessed central mandorlas, pendants, and corners paper onlays blocked in gold with large floral designs featuring octafoil blossoms and seratted leaves, with smaller quatrfoils in the pendants.Central decoration connected by a single vertical line ruled in ochre, with double lines of the same connecting the cornerpieces and again along the board perimeters. Spine subsequently fully gilt by a British binder for Sir Gore Ouseley, in keeping with other volumes that he had similarly rebacked, albeit in this case left untitled. Divided into six panels by thick single fillets, with thin rope, circle-and-dart, and single fillet lines, and large arabesque quatrefoils in the centress.",,,1775,,,,382.0,382.0,382.0,231.0,231.0,231.0,45.0,45.0,45.0,mm
Persian_MS_192_binding_1,manuscript_6673,,Persian_MS_192,,"Possibly rebound in a hybrid British-Indian style in Calcutta (Kolkata) for Thomas Law (1756–1834) during his tenure in the East India Company between 1773 and 1791; Endpapers of fairly coarse, flocked stock, probably handmade in Bengal added at front at back, together with flyleaves of bright pink, surface-tinted Chinese Xuan paper, with ~12 laid lines per cm and 23 mm between laid lines. Resewn on three cord supports, either laced in or frayed out on pasteboards. Edges trimmed, and endbands added at head and tail, now lost. Covered in full highly polished dark brown goatskin leather, with three raised bands upon the spine in the European manner, together with a fore-edge and pentagonal envelope flap, all cut flush with the edges of the texblock (Type II binding per Déroche). Board interiors of the same leather, extended in width to attach the cover to the second and penultimate flyleaves, with ; 305 228 71","Handle binding with caution. In fair but stable condition. Exterior decoration suffers extensive losses, frayed headcaps, missing endbands, cracking joints, and general wear along the edges.","Boards and flap originally decorated with central scalloped mandorlas, detached pendants, and cornerpieces upon gilt stamped paper, most now mising. Fore-edge flap bears a cartouche flanked by the the same detached pendants. Additional vertical single-line ruling in connects the central decoration, with double-lines connecting the cornerpieces, and thing-and-thick lines one the outer margins.",,,1773,1791,,,305.0,305.0,305.0,228.0,228.0,228.0,71.0,71.0,71.0,mm
Persian_MS_195_binding_1,manuscript_6676,,Persian_MS_195,,"Probably split and uniformly rebound in two volumes in a hybrid British-Indian style, but in the Indian subcontinent for former owner Sir Gore Ouseley.; Resewn on six raised cords, with two laced into pasteboards. Endpapers medium-weight, straight-grained sized and polished straw-coloured paper, probably handmade in the Indian subcontinent added at the beginning and end, with edges trimmed, and twined chevron endbands worked over round cores at head and tail. Covered in full reverse calfskin leather over raised bands, tight-jointed, and without a flap (type III binding per Déroche).; 289 216 61","Handle binding with caution. In fair but sound condition, with the left board separating from the textblock and spine covering lifting. Some abrasion to the edges. Some folios protrude at the fore-edge.",Coated imitated boarded russia-grained paper labels applied to the spine bears a handwritten nasta‘līq title and volume number.,,,1795,1830,,,289.0,289.0,289.0,216.0,216.0,216.0,61.0,61.0,61.0,mm
