metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,origin: not before,origin: not after,origin: country,origin: region,origin: settlement,origin: org,provenance: overview,provenance: former owner name(s),provenance: named place(s),acquisition: overview,acquisition: not before,acquisition: not after,acquisition: former owner name(s),acquisition: donor name(s),contents: lang(s),contents: lang code(s),contents: n items and parts,contents: title(s),contents: standard title(s),contents: subject(s),contents: author(s) referenced,music: notation,decoration: type(s),codicology: form,codicology: condition,codicology: support,codicology: watermark,codicology: extent,codicology: core folios,codicology: endleaves,codicology: later endleaves,codicology: collation,codicology: main structure,codicology: structures,codicology: foliation,palaeography: hands,palaeography: script,palaeography: main script,palaeography: execution,palaeography: medium,binding: overview,binding: contemporary,binding: not before,binding: not after,binding: certainty,binding: max height,binding: min height,binding: max width,binding: min width,binding: max depth,binding: min depth,binding: unit,leaves: max height,leaves: min height,leaves: max width,leaves: min width,leaves: unit,text block: max cols,text block: min cols,text block: max height,text block: min height,text block: max width,text block: min width,text block: unit,text block: max lines,text block: min lines,text block: medium,text block: top line
manuscript_15595,,Eton Pote 436,,manuscript,,Eton_436,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Siyar al-Mutaʾakhkhirīn; سير المتأخرين; The Siyar-u-Mutakherin; Catalogue of the Persian manuscripts in the British Museum (3 vols.); Catalogue of Persian manuscripts in the library of the India Office (2 vols.); Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III; Persian Literature: a bio-bibliographical survey; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts; A catalogue of Persian manuscripts in the library of the University of Cambridge",,,"Ṭabāṭāḅāʾī, Ghulām Husayn Khān غلام حسين بن هدايت علی خان بن السيد عليم الله بن السيد فيض الله الطباطبائی الحسينی ; C. Rieu; H. Ethé; E. Sachau and H. Ethé; A.F.L. Beeston; C. A. Storey; D.N. Marshall; E. Browne",,,codex,,chart,,,,,,,,,Not foliated or paginated.,,unknown,unknown,,black,,,,,,,,,,,,,24.7,24.7,15.7,15.7,cm,1.0,1.0,,,,,,15.0,15.0,,
manuscript_15499,,Eton Pote 350,,manuscript,,Eton_350,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Laz̲z̲at al-Nisāʾ (?); Laz̲z̲at al-Sanāʾ (?); لذة النساء; لذة السناء; Catalogue of the Persian manuscripts in the British Museum (3 vols.),,,"(perhaps) Nakhshabī, Z̤iyāʾ al-dīn, d. 1350 نخشبى، ضياء الدين ; C. Rieu",,,codex,,chart,,,,,,,,,,,unknown,unknown,,black,,,,,,,,,,,,,,,,,cm,1.0,1.0,,,,,,0.0,0.0,,
manuscript_15530,,Eton Pote 378,,manuscript,,Eton_378,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,ar,1.0,Commentary on the Sharḥ al-Maʿānī; حاشية على شرح المعانى,,,Anonymous,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,unknown,unknown,,black,,,,,,,,,,,,,18.7,18.7,12.0,12.0,cm,1.0,1.0,,,,,,14.0,14.0,,
manuscript_15541,,Eton Pote 387,,manuscript,,Eton_387,1704 1704,1704 1704,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,ar,1.0,Mūjiz al-Qānūn; موجز القانون; Geschichte der arabischen Literatur; Supplement to the catalogue of the Arabic manuscripts in the British Museum; A descriptive list of the Arabic manuscripts acquired by the Trustees of the British Museum since 1894,,,"Ibn al-Nafīs, ʿAlī ibn Abī al-Ḥazm, 1210 or 11-1288 ابن النفيس، علي بن أبي الحزم، ت. 687 هـ ; C. Brockelmann; C. Rieu; A. G. Ellis and E. Edwards",,,codex,,chart,,,,,,,,,Foliated.,,unknown,unknown,,black,,,,,,,,,,,,,21.7,21.7,16.0,16.0,cm,1.0,1.0,,,,,,23.0,23.0,,
manuscript_15547,,Eton Pote 393,,manuscript,,Eton_393,1776 1776,1776 1776,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Barf va ʾĀh; برف وآه,,,Kāmil Kashmīrī كامل كشميرى,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,nastaʿlīq,nastaʿlīq,,black,,,,,,,,,,,,,23.5,23.5,14.0,14.0,cm,1.0,1.0,,,,,,9.0,9.0,,
manuscript_15539,,Eton Pote 385,,manuscript,,Eton_385,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Manṭiq al-Ṭayr; منطق الطير; Catalogue of the Persian manuscripts in the British Museum (3 vols.); Catalogue of Persian manuscripts in the library of the India Office (2 vols.); Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III; A catalogue of Persian manuscripts in the library of the University of Cambridge",,,Farīd al-dīn ʿAṭṭār (d. ca. 1230) عطار، فريد الدين ; C. Rieu; H. Ethé; E. Sachau and H. Ethé; A.F.L. Beeston; E. Browne,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,nastaʿlīq,nastaʿlīq,,black,,,,,,,,,,,,,16.5,16.5,10.0,10.0,cm,1.0,1.0,,,,,,15.0,15.0,,
manuscript_15545,,Eton Pote 391,,manuscript,,Eton_391,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,ar,1.0,al-Qurʾān; القرآن; Persian Literature: a bio-bibliographical survey,,,C. A. Storey,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,naskh,naskh,,black,,,,,,,,,,,,,22.5,22.5,15.5,15.5,cm,1.0,1.0,,,,,,11.0,11.0,,
manuscript_15565,,Eton Pote 408,,manuscript,,Eton_408,1695 1695,1695 1695,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Epitome of the Milal va Niḥal; الملل والنحل; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts; Catalogus codicum manuscriptorum orientalium qui in Museo britannico asservantur. Pars secunda, codices arabicos amplectens",,,"Shahristānī, Muḥammad ibn ʿAbd al-Karīm, 1086-1153 الشهرستاني، محمد ابن عبد الكريم ابو الفتح ; D.N. Marshall; C. Rieu",,,codex,,chart,,,,,,,,,Foliated.,,unknown,unknown,,black,,,,,,,,,,,,,23.7,23.7,15.3,15.3,cm,1.0,1.0,,,,,,21.0,21.0,,
manuscript_15495,,Eton Pote 346,,manuscript,,Eton_346,1662 1662,1662 1662,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Karm-Vipāk; كرم وپاك,,,Anonymous,,,codex,,chart,,,,,,,,,Not foliated or paginated.,,unknown,unknown,,black,,,,,,,,,,,,,23.0,23.0,15.5,15.5,cm,1.0,1.0,,,,,,16.0,16.0,,
manuscript_15501,,Eton Pote 352,,manuscript,,Eton_352,1677 1677,1677 1677,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Laṭāʾif al-Lughāt (Farhang, or glossary, to the Mathnavī of Rūmī); لطائف اللغات; Catalogue of the Persian manuscripts in the British Museum (3 vols.); Catalogue of Persian manuscripts in the library of the India Office (2 vols.); Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts",,,"ʿAbbāsī, ʿAbd al-Laṭīf, -1639 or 1640 ‏عباسى، عبد اللطيف ; C. Rieu; H. Ethé; E. Sachau and H. Ethé; A.F.L. Beeston; D.N. Marshall",,,codex,,chart,,,,,,,,,Foliated.,,unknown,unknown,,black,,,,,,,,,,,,,25.0,25.0,14.0,14.0,cm,1.0,1.0,,,,,,17.0,17.0,,
manuscript_15593,,Eton Pote 434,,manuscript,,Eton_434,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,ar,1.0,Sharḥ Hidāyat al-Ḥikmah; شرح هداية الحكمة; Geschichte der arabischen Literatur; A descriptive list of the Arabic manuscripts acquired by the Trustees of the British Museum since 1894; A catalogue of the Arabic manuscripts in the Library of the India Office (vol. 1),,,"Athīr al-dīn al-Abharī, al-Mufaḍḍal ibn ʿUmar, d. 1265 اثير الدين الابهري، المفضل بن عمر ; C. Brockelmann; A. G. Ellis and E. Edwards; O. Loth",,,codex,,chart,,,,,,,,,Not foliated or paginated.,,naskh,naskh,,black,,,,,,,,,,,,,24.2,24.2,13.5,13.5,cm,1.0,1.0,,,,,,17.0,17.0,,
manuscript_15416,,Eton Pote 278(1),,manuscript,,Eton_278_1,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,Taʾrīkh ʿĀlam-ārā; Afz̤al al-Tavārīkh; تاريخ عالم آرای ; افضل التواريخ; Afz̤al al-Tavārīkh; Taʾrīkh ʿĀlam-ārā-yi 'Abbasi; Persian Literature: a bio-bibliographical survey; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts,,,"Khūzānī Iṣfahānī, Faz̤lī Bayg خوزانى اصفهانى، فضلى بيگ ; C. A. Storey; D.N. Marshall",,,codex,,chart,,,,,,,,,Foliated.,,shikasta,shikasta,,black,,,,,,,,,,,,,33.5,33.5,18.5,18.5,cm,1.0,1.0,,,,,,21.0,21.0,,
manuscript_15502,,Eton Pote 353,,manuscript,,Eton_353,,,,,,,"The ""Pote Collection"" arrived in England from India in 1790 and was divided between the Colleges of Eton and King's, Cambridge, with the second half alphabetically going to Eton. Both halves of the collection are now housed in Cambridge University Library on permanent loan. Most if not all of the manuscripts had previously been owned by Colonel Antoine-Louis Henri Polier (1741–1795).",Colonel Antoine-Louis Henri Polier (1741–1795),,Gift of Edward Ephraim Pote (d.1832) in 1788.,,,Edward Ephraim Pote (d.1832),,,fa,1.0,"Laṭāʾif al-Ṭavāʾif; لطائف الطوائف; Catalogue of the Persian manuscripts in the British Museum (3 vols.); Catalogue of Persian manuscripts in the library of the India Office (2 vols.); Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library; Catalogue of the Persian, Turkish, Hindûstânî, and Pushtû Manuscripts in the Bodleian Library, Part III; Mughals in India: a bibliographical survey. Vol. 1. Manuscripts",,,"Ṣafī, ʿAlī ibn Ḥusayn Kāshifī, 1463-1532 or 3 صفى، على بن حسين كاشفى‏ ; C. Rieu; H. Ethé; E. Sachau and H. Ethé; A.F.L. Beeston; D.N. Marshall",,,codex,,chart,,,,,,,,,Foliated.,,unknown,unknown,,black,,,,,,,,,,,,,15.0,15.0,9.2,9.2,cm,1.0,1.0,,,,,,9.0,9.0,,
